NODE_ID,ROAD_PROPERTIES,JUNCTION_PROPERTIES,LENGTH_METRES,DIRECTION_1,DIRECTION_2,DIRECTION_3
0,00000000,ZZZZZZZZ,0,2,1,0
1,ABBBCBGDHDIAJCKA,ACBFCBDBFBGDHDIAJHKB,72,9,0,0
2,ABBBCBGDHDIAJAKA,ADBHCBDAFAGDHDIAJCKA,92,3,0,0
3,ABBBCBGDHDICJEKB,ADBJCBDCFAGDHDICJDKC,261,4,7,0
4,ABBBCBGDHDIAJCKB,ACBFCBDAFBGDHDIAJBKC,282,5,0,0
5,ACBBCBGDHDIBJCKB,ABBCCADBFBGDHDIBJBKC,173,6,0,0
6,ACBDCAGDHDIAJCKC,ABBCCADBFBGDHDIAJBKC,157,10,0,0
7,ACBDCBGDHDIAJCKC,ACBDCBDCFBGBHDIBJBKC,260,8,0,0
8,ACBDCBGDHDIBJCKC,ACBFCBDAFBGDHDIAJBKC,119,10,0,0
9,ACBCCBGCHBIAJGKC,ADBFCBDCFBGDHAICJEKC,281,7,13,12
10,ACBDCAGDHDIBJAKC,AEBCCADBFAGDHDIBJCKC,124,21,11,0
11,ABBACAGDHDIAJAKA,ADBHCBDBFAGDHDIAJCKA,74,15,0,0
12,ACBECBGDHDIBJAKC,ACBHCBDCFBGBHDIBJBKC,227,13,16,0
13,ABBDCBGDHAIBJBKC,AABACBDCFBGDHAIAJDKB,183,14,0,0
14,ABBBCBGDHDIAJCKB,AABACBDCFBGDHDIAJCKB,206,18,24,0
15,ABBBCBGDHDIAJCKB,ADBHCBDAFAGDHDIAJBKA,223,19,17,0
16,ACBECBGDHBIAJAKC,AEBCCADBFAGDHDIAJBKC,284,22,0,0
17,ABBACAGDHDIAJAKA,ACBDCBDBFBGDHDIAJHKA,218,21,0,0
18,ABBBCBGDHDIDJBKB,AABACBDBFBGDHDIAJCKB,281,20,28,0
19,ABBBCBGDHDIAJCKB,AABACBDBFBGDHDIAJCKB,145,21,0,0
20,ABBBCBGDHDIAJAKB,AABACBDCFBGDHDIAJCKB,55,21,0,0
21,ABBBCBGBHDIAJBKB,ABBBCBDAFBGDHDIAJCKB,179,36,0,0
22,ACBCCBGDHDIAJCKC,ABBCCBDCFBGDHDIAJCKC,217,26,0,0
23,ABBBCBGDHDIAJAKB,ACBCCBDBFBGDHDIAJBKA,146,25,29,0
24,ABBBCBGAHDIAJFKB,ADBFCBDBFAGAHDIBJDKB,365,27,31,0
25,ABBBCBGBHDIDJCKA,ADBFCBDCFBGAHDIBJDKB,345,27,31,0
26,ACBDCBGDHDIAJAKC,ABBBCBDCFBGDHDIAJCKC,95,23,34,0
27,ABBBCBGDHDIAJCKB,ADBHCBDAFAGDHDIAJCKA,204,33,0,0
28,ABBBCBGDHDIDJAKB,ACBCCBDBFBGDHDIAJBKA,258,39,35,0
29,ABBBCBGDHDIAJEKA,ACBCCBDBFAGDHDIAJBKA,280,31,0,0
30,ABBBCBGDHDIAJFKA,ACBCCBDAFAGDHDIAJBKA,338,31,0,0
31,ABBACAGDHDIAJCKA,ACBCCBDAFBGDHDIAJBKA,195,32,0,0
32,ABBBCBGDHDIAJAKA,ACBCCBDBFBGDHDIAJBKA,49,40,0,0
33,ABBBCBGDHDIAJCKA,ACBCCBDAFAGDHDIAJBKA,245,32,0,0
34,ACBBCBGDHDIAJAKC,ACBBCBDBFAGDHDIAJBKB,159,30,38,0
35,ABBBCBGDHDIAJDKB,ADBDCBDCFAGDHDIAJCKA,254,37,0,0
36,ACBDCBGAHAIBJBKC,ACBCCADCFAGDHAIAJBKC,461,45,0,0
37,ABBACAGDHDIAJBKB,ACBCCADAFBGDHAIAJBKC,43,45,0,0
38,ACBBCBGBHDIAJCKC,ABBACBDCFBGCHDIAJDKC,112,41,0,0
39,ABBBCBGDHDIAJDKB,ACBBCBDBFBGDHDIAJBKA,332,35,0,0
40,ABBBCBGAHDIBJBKB,ABBBCBDBFBGAHDIAJBKC,192,42,0,0
41,ABBBCBGBHDIAJDKC,ABBBCBDAFBGAHDIAJBKC,480,59,0,0
42,ABBBCBGBHDIAJAKB,AEBBCADAFAGDHDIAJBKB,152,60,0,0
43,ABBBCBGDHDIBJAKB,ACBDCBDBFAGDHDIBJBKC,252,55,42,0
44,ABBBCBGDHDIAJAKB,AEBBCADCFAGDHDIAJBKC,77,43,0,0
45,ACBDCBGCHBIAJAKC,ABBBCBDAFBGDHDIAJBKC,191,44,0,0
46,ACBBCBGDHDIAJBKC,ACBBCBDBFAGDHDIAJBKB,171,47,48,0
47,ABBBCBGDHDIAJDKA,ACBDCBDAFBGDHDIAJBKA,209,49,0,0
48,ACBBCBGDHBIAJFKC,ACBFCBDBFAGAHDICJCKB,314,49,0,0
49,ACBDCBGCHCIAJEKC,ACBDCBDCFAGDHAIAJCKC,181,50,0,0
50,ACBBCBGBHBIAJAKB,ADBFCBDCFAGAHDIAJCKC,216,51,0,0
51,ACBBCBGBHDIAJBKB,ADBFCBDBFAGAHDICJDKC,126,58,52,0
52,ACBBCBGBHDIAJAKB,ADBFCBDBFAGAHDIAJDKC,130,57,0,0
53,ACBDCBGDHDIAJCKC,ABBBCBDAFBGDHDIAJBKC,197,54,0,0
54,ACBBCBGDHDIAJBKC,ACBDCADAFAGAHDIAJCKC,256,55,52,0
55,ABBBCBGDHDIAJBKB,AABACBDCFAGDHDIAJCKB,66,56,0,0
56,AABBCBGDHDIAJAKA,ACBDCBDCFAGDHDIAJBKB,49,60,0,0
57,ABBACAGCHDIAJBKA,ACBDCBDCFAGDHDIAJBKB,130,60,0,0
58,ABBBCAGAHDIBJAKB,ACBDCBDCFAGDHDIAJBKB,67,59,0,0
59,ABBBCBGDHDIAJCKB,ACBDCBDCFAGDHDIAJBKB,86,60,0,0
60,AABBCBGDHDIAJAKA,ZZZZZZZZ,55,0,0,0